,Year Code,Value,inflation,year,time,time,time,month,popularity,regression,regression_value
0,2007,122.92884281155997,4.8,2007,17.5,17.5,17.5,6.5,17.583333333333332,17.289370299782604,130.34312886059644
1,2008,149.55283580422002,8.71111111111111,2008,29.5,29.5,29.5,6.5,18.75,19.38814080040902,138.66118471883175
2,2009,155.57216081907,3.3555555555555556,2009,41.5,41.5,41.5,6.5,23.166666666666668,22.52984070032835,162.19690435889083
3,2010,171.98125247090996,3.1444444444444444,2010,53.5,53.5,53.5,6.5,26.916666666666668,26.71447000047192,175.05143100832123
4,2011,191.59653911425,5.366666666666666,2011,65.5,65.5,65.5,6.5,29.083333333333332,31.942028700374067,180.43248666153738
5,2012,190.15235493855,4.2,2012,77.5,77.5,77.5,6.5,39.5,38.21251680003479,194.26043768974358
6,2013,197.17417795731998,3.6555555555555563,2013,89.5,89.5,89.5,6.5,48.5,45.525934300385416,198.41731175223356
7,2014,183.5802834503,4.177777777777778,2014,101.5,101.5,101.5,6.5,53.75,53.882281200028956,199.51703379912686
8,2015,209.12587735837002,4.333333333333334,2015,113.5,113.5,113.5,6.5,63.0,63.281557500362396,200.43125980804024
9,2016,208.43949828709,4.388888888888889,2016,125.5,125.5,125.5,6.5,73.41666666666667,73.72376319998875,200.79320962542488
